id,rate,name
01001,0.835550790183719,Autauga County
01003,0.8272489709192755,Baldwin County
01005,0.8467879142677187,Barbour County
01007,0.8583851665336625,Bibb County
01009,0.8639422159693765,Blount County
01011,0.8753013914304236,Bullock County
01013,0.8551057576199891,Butler County
01015,0.8229490694270328,Calhoun County
01017,0.8224331974615714,Chambers County
01019,0.8655987863204923,Cherokee County
01021,0.8477195433278055,Chilton County
01023,0.8845740905398722,Choctaw County
01025,0.8564064117375547,Clarke County
01027,0.870928744653107,Clay County
01029,0.8928755327664915,Cleburne County
01031,0.846764640990212,Coffee County
01033,0.8157574639220168,Colbert County
01035,0.876391758915945,Conecuh County
01037,0.88056983297686,Coosa County
01039,0.8330833011904896,Covington County
01041,0.8649784977467136,Crenshaw County
01043,0.8603835940123413,Cullman County
01045,0.8376193637606506,Dale County
01047,0.8299262147508056,Dallas County
01049,0.8671236405020878,DeKalb County
01051,0.8180755430333282,Elmore County
01053,0.8499845459276538,Escambia County
01055,0.8260500241616904,Etowah County
01057,0.8717275932895627,Fayette County
01059,0.847968879535744,Franklin County
01061,0.8808707258463582,Geneva County
01063,0.8484256744126852,Greene County
01065,0.8477016872128073,Hale County
01067,0.8717364607062839,Henry County
01069,0.828910881315841,Houston County
01071,0.8336922006040968,Jackson County
01073,0.78496532311822,Jefferson County
01075,0.8679814466474278,Lamar County
01077,0.8295261356453544,Lauderdale County
01079,0.8719759289233073,Lawrence County
01081,0.8298540111927497,Lee County
01083,0.8253273827479768,Limestone County
01085,0.8967980736701757,Lowndes County
01087,0.8293954023152678,Macon County
01089,0.7952169252742539,Madison County
01091,0.8705521818614014,Marengo County
01093,0.8523647118989683,Marion County
01095,0.827749655499311,Marshall County
01097,0.8214710008423429,Mobile County
01099,0.8579263539658609,Monroe County
01101,0.7992393177902044,Montgomery County
01103,0.8210039813490334,Morgan County
01105,0.8880855202033165,Perry County
01107,0.8850622339478497,Pickens County
01109,0.8505563381242122,Pike County
01111,0.864442873327257,Randolph County
01113,0.8261305850263052,Russell County
01115,0.8398567573567357,St. Clair County
01117,0.8131752164322879,Shelby County
01119,0.8758608337205409,Sumter County
01121,0.8361533292623213,Talladega County
01123,0.8426637216442366,Tallapoosa County
01125,0.8227286419656071,Tuscaloosa County
01127,0.8341239447863571,Walker County
01129,0.8942849916815845,Washington County
01131,0.8891134863152788,Wilcox County
01133,0.8701295155351748,Winston County
02013,0.3959612168550079,Aleutians East Borough
02016,0.677980464232139,Aleutians West Census Area
02020,0.7283643593189963,Anchorage Municipality
02050,0.5922739251113224,Bethel Census Area
02060,0.6151587646802958,Bristol Bay Borough
02068,0.7952066700509176,Denali Borough
02070,0.6735478621486128,Dillingham Census Area
02090,0.772815280454875,Fairbanks North Star Borough
02100,0.6668876705342344,Haines Borough
02105,0.7851564846518893,Hoonah-Angoon Census Area
02110,0.7040044633038537,Juneau City and Borough
02122,0.7735435298151375,Kenai Peninsula Borough
02130,0.7290262246160059,Ketchikan Gateway Borough
02150,0.6784765894504862,Kodiak Island Borough
02158,0.5203038791932768,Kusilvak Census Area
02164,0.5619765494137353,Lake and Peninsula Borough
02170,0.7648946774208439,Matanuska-Susitna Borough
02180,0.3712676219834647,Nome Census Area
02185,0.7132437859261398,North Slope Borough
02188,0.2569682244731239,Northwest Arctic Borough
02195,0.6156687671611718,Petersburg Borough
02198,0.5707748071952697,Prince of Wales-Hyder Census Area
02220,0.6420049908273606,Sitka City and Borough
02230,0.7582417582417583,Skagway Municipality
02240,0.7961887468820635,Southeast Fairbanks Census Area
02261,0.7350050129354769,Valdez-Cordova Census Area
02275,0.43775302338774147,Wrangell City and Borough
02282,,Yakutat City and Borough
02290,0.5034108431505582,Yukon-Koyukuk Census Area
04001,0.8018960761445943,Apache County
04003,0.7375016074979339,Cochise County
04005,0.766735630281877,Coconino County
04007,0.7453005509513555,Gila County
04009,0.8026192182878482,Graham County
04011,0.7507420917137054,Greenlee County
04012,0.719135689266262,La Paz County
04013,0.7537379115161189,Maricopa County
04015,0.7261333940240613,Mohave County
04017,0.771524182206707,Navajo County
04019,0.7513998873085826,Pima County
04021,0.7629803981595737,Pinal County
04023,0.7729184328427584,Santa Cruz County
04025,0.7436599461393683,Yavapai County
04027,0.6808671639861019,Yuma County
05001,0.8214073562997863,Arkansas County
05003,0.8353356844069338,Ashley County
05005,0.7922304314512282,Baxter County
05007,0.7989613527491194,Benton County
05009,0.8154347841074395,Boone County
05011,0.8427108403041482,Bradley County
05013,0.8970775648238519,Calhoun County
05015,0.8218327309100002,Carroll County
05017,0.8626943996327209,Chicot County
05019,0.8505968898138513,Clark County
05021,0.8499072228712803,Clay County
05023,0.810054253199722,Cleburne County
05025,0.8765062683468756,Cleveland County
05027,0.835629229599253,Columbia County
05029,0.8548944177423997,Conway County
05031,0.8216430059187929,Craighead County
05033,0.8303087201365449,Crawford County
05035,0.7945224185308135,Crittenden County
05037,0.864213175530316,Cross County
05039,0.8411857565618398,Dallas County
05041,0.7937227243172029,Desha County
05043,0.8358962373558975,Drew County
05045,0.82774177676253,Faulkner County
05047,0.8325275645753097,Franklin County
05049,0.867640329173421,Fulton County
05051,0.8163436402738621,Garland County
05053,0.8517188700405323,Grant County
05055,0.8251104033592512,Greene County
05057,0.8785168960826497,Hempstead County
05059,0.8530462765820264,Hot Spring County
05061,0.8260454183383749,Howard County
05063,0.8398379634564953,Independence County
05065,0.8084161145943541,Izard County
05067,0.7965498013656473,Jackson County
05069,0.8170142656878155,Jefferson County
05071,0.8514876480426451,Johnson County
05073,0.8658738507090541,Lafayette County
05075,0.8364779997876466,Lawrence County
05077,0.8534237544934388,Lee County
05079,0.8903810335261949,Lincoln County
05081,0.8634656828820959,Little River County
05083,0.8371227717951569,Logan County
05085,0.8366116205421242,Lonoke County
05087,0.8635395908581392,Madison County
05089,0.7980711632922007,Marion County
05091,0.8303895621592478,Miller County
05093,0.7848610636091164,Mississippi County
05095,0.846017204942931,Monroe County
05097,0.8550433290494892,Montgomery County
05099,0.8902475255265585,Nevada County
05101,0.8677057372172271,Newton County
05103,0.8605516788486319,Ouachita County
05105,0.8309591027599081,Perry County
05107,0.8463850722550169,Phillips County
05109,0.8616376430364355,Pike County
05111,0.8354534336576324,Poinsett County
05113,0.8385610227441653,Polk County
05115,0.831443658142654,Pope County
05117,0.8439313065676491,Prairie County
05119,0.7864618044863873,Pulaski County
05121,0.8523328627011414,Randolph County
05123,0.8386761209787122,St. Francis County
05125,0.8195709340445527,Saline County
05127,0.8257982937520199,Scott County
05129,0.8816099152309965,Searcy County
05131,0.7823320682666618,Sebastian County
05133,0.8678381008199659,Sevier County
05135,0.8274188000044387,Sharp County
05137,0.8246029002852824,Stone County
05139,0.817294365471312,Union County
05141,0.8513438423069049,Van Buren County
05143,0.7902452353044864,Washington County
05145,0.8460408881504975,White County
05147,0.8005155165373622,Woodruff County
05149,0.8387263045085108,Yell County
06001,0.7234185991333649,Alameda County
06003,0.7857653075802166,Alpine County
06005,0.7386830607833081,Amador County
06007,0.7239148485760951,Butte County
